attribute,rank,feature,group,rf_importance
time_of_day,1,photo_7,photo,0.0259
time_of_day,2,photo_6,photo,0.0227
time_of_day,3,photo_2,photo,0.0226
time_of_day,4,color_77,color,0.021
time_of_day,5,color_3,color,0.0205
time_of_day,6,color_67,color,0.018
time_of_day,7,photo_3,photo,0.0176
time_of_day,8,color_36,color,0.0166
time_of_day,9,color_33,color,0.0158
time_of_day,10,photo_8,photo,0.0143
vehicle_density,1,hog_1645,hog,0.0055
vehicle_density,2,hog_2632,hog,0.0052
vehicle_density,3,hog_1146,hog,0.005
vehicle_density,4,hog_2151,hog,0.0048
vehicle_density,5,hog_215,hog,0.0045
vehicle_density,6,hog_170,hog,0.0043
vehicle_density,7,hog_1130,hog,0.0042
vehicle_density,8,hog_673,hog,0.004
vehicle_density,9,hog_2106,hog,0.0035
vehicle_density,10,hog_2113,hog,0.0035
vru_present,1,color_10,color,0.0085
vru_present,2,color_42,color,0.006
vru_present,3,color_9,color,0.0047
vru_present,4,photo_3,photo,0.0044
vru_present,5,color_12,color,0.0041
vru_present,6,hog_2141,hog,0.0037
vru_present,7,photo_4,photo,0.0035
vru_present,8,hog_4825,hog,0.0032
vru_present,9,hog_4185,hog,0.0032
vru_present,10,hog_3555,hog,0.003
