fold,attribute,baseline,seed,accuracy,macro_f1
0,time_of_day,random,42,0.5308641975308642,0.5307926829268292
0,time_of_day,majority_class,42,0.5061728395061729,0.3360655737704918
0,time_of_day,random,7,0.5061728395061729,0.5060975609756098
0,time_of_day,majority_class,7,0.5061728395061729,0.3360655737704918
0,time_of_day,random,123,0.5061728395061729,0.5042839657282742
0,time_of_day,majority_class,123,0.5061728395061729,0.3360655737704918
0,vehicle_density,random,42,0.3950617283950617,0.33517615176151755
0,vehicle_density,majority_class,42,0.12345679012345678,0.07326007326007326
0,vehicle_density,random,7,0.3333333333333333,0.3242330279539582
0,vehicle_density,majority_class,7,0.12345679012345678,0.07326007326007326
0,vehicle_density,random,123,0.37037037037037035,0.3262394388649769
0,vehicle_density,majority_class,123,0.12345679012345678,0.07326007326007326
0,vru_present,random,42,0.43209876543209874,0.41193181818181823
0,vru_present,majority_class,42,0.6666666666666666,0.4
0,vru_present,random,7,0.5555555555555556,0.5438047559449312
0,vru_present,majority_class,7,0.6666666666666666,0.4
0,vru_present,random,123,0.4567901234567901,0.44999999999999996
0,vru_present,majority_class,123,0.6666666666666666,0.4
1,time_of_day,random,42,0.5365853658536586,0.5363095238095239
1,time_of_day,majority_class,42,0.5,0.3333333333333333
1,time_of_day,random,7,0.5121951219512195,0.5121951219512195
1,time_of_day,majority_class,7,0.5,0.3333333333333333
1,time_of_day,random,123,0.5,0.49813404985818777
1,time_of_day,majority_class,123,0.5,0.3333333333333333
1,weather,random,42,0.47560975609756095,0.32231404958677684
1,weather,majority_class,42,1.0,1.0
1,weather,random,7,0.5,0.3333333333333333
1,weather,majority_class,7,1.0,1.0
1,weather,random,123,0.5609756097560976,0.359375
1,weather,majority_class,123,1.0,1.0
1,vehicle_density,random,42,0.4146341463414634,0.34661953159522757
1,vehicle_density,majority_class,42,0.036585365853658534,0.023529411764705882
1,vehicle_density,random,7,0.3902439024390244,0.30248430248430247
1,vehicle_density,majority_class,7,0.036585365853658534,0.023529411764705882
1,vehicle_density,random,123,0.35365853658536583,0.31541518122400475
1,vehicle_density,majority_class,123,0.036585365853658534,0.023529411764705882
1,vru_present,random,42,0.524390243902439,0.5208988764044944
1,vru_present,majority_class,42,0.3902439024390244,0.2807017543859649
1,vru_present,random,7,0.4268292682926829,0.41984043353906364
1,vru_present,majority_class,7,0.3902439024390244,0.2807017543859649
1,vru_present,random,123,0.5365853658536586,0.522671568627451
1,vru_present,majority_class,123,0.3902439024390244,0.2807017543859649
2,time_of_day,random,42,0.525,0.5247029393370857
2,time_of_day,majority_class,42,0.5,0.3333333333333333
2,time_of_day,random,7,0.5125,0.5124238162212846
2,time_of_day,majority_class,7,0.5,0.3333333333333333
2,time_of_day,random,123,0.4875,0.48549019607843136
2,time_of_day,majority_class,123,0.5,0.3333333333333333
2,weather,random,42,0.475,0.3220338983050847
2,weather,majority_class,42,1.0,1.0
2,weather,random,7,0.5125,0.33884297520661155
2,weather,majority_class,7,1.0,1.0
2,weather,random,123,0.5625,0.36
2,weather,majority_class,123,1.0,1.0
2,vehicle_density,random,42,0.35,0.3257498585172609
2,vehicle_density,majority_class,42,0.225,0.12244897959183675
2,vehicle_density,random,7,0.2875,0.28454274791677675
2,vehicle_density,majority_class,7,0.225,0.12244897959183675
2,vehicle_density,random,123,0.2375,0.2333333333333333
2,vehicle_density,majority_class,123,0.225,0.12244897959183675
2,vru_present,random,42,0.5375,0.3727484636575546
2,vru_present,majority_class,42,0.9875,0.4968553459119497
2,vru_present,random,7,0.5,0.35431799838579503
2,vru_present,majority_class,7,0.9875,0.4968553459119497
2,vru_present,random,123,0.425,0.2982456140350877
2,vru_present,majority_class,123,0.9875,0.4968553459119497
3,time_of_day,random,42,0.48148148148148145,0.325
3,time_of_day,majority_class,42,1.0,1.0
3,time_of_day,random,7,0.5061728395061729,0.3360655737704918
3,time_of_day,majority_class,7,1.0,1.0
3,time_of_day,random,123,0.5555555555555556,0.35714285714285715
3,time_of_day,majority_class,123,1.0,1.0
3,weather,random,42,0.48148148148148145,0.325
3,weather,majority_class,42,1.0,1.0
3,weather,random,7,0.5061728395061729,0.3360655737704918
3,weather,majority_class,7,1.0,1.0
3,weather,random,123,0.5555555555555556,0.35714285714285715
3,weather,majority_class,123,1.0,1.0
3,vehicle_density,random,42,0.345679012345679,0.34581633914225685
3,vehicle_density,majority_class,42,0.1111111111111111,0.06666666666666667
3,vehicle_density,random,7,0.3950617283950617,0.3810555801267876
3,vehicle_density,majority_class,7,0.1111111111111111,0.06666666666666667
3,vehicle_density,random,123,0.32098765432098764,0.2788005415777836
3,vehicle_density,majority_class,123,0.1111111111111111,0.06666666666666667
3,vru_present,random,42,0.4691358024691358,0.46091936232781305
3,vru_present,majority_class,42,0.35802469135802467,0.2636363636363636
3,vru_present,random,7,0.5185185185185185,0.5077138849929874
3,vru_present,majority_class,7,0.35802469135802467,0.2636363636363636
3,vru_present,random,123,0.49382716049382713,0.4732751784298176
3,vru_present,majority_class,123,0.35802469135802467,0.2636363636363636
4,time_of_day,random,42,0.475,0.3220338983050847
4,time_of_day,majority_class,42,1.0,1.0
4,time_of_day,random,7,0.5125,0.33884297520661155
4,time_of_day,majority_class,7,1.0,1.0
4,time_of_day,random,123,0.5625,0.36
4,time_of_day,majority_class,123,1.0,1.0
4,weather,random,42,0.475,0.3220338983050847
4,weather,majority_class,42,1.0,1.0
4,weather,random,7,0.5125,0.33884297520661155
4,weather,majority_class,7,1.0,1.0
4,weather,random,123,0.5625,0.36
4,weather,majority_class,123,1.0,1.0
4,vehicle_density,random,42,0.3625,0.3379357618488053
4,vehicle_density,majority_class,42,0.1625,0.09318996415770608
4,vehicle_density,random,7,0.4125,0.4024940105057961
4,vehicle_density,majority_class,7,0.1625,0.09318996415770608
4,vehicle_density,random,123,0.3375,0.3265588578088578
4,vehicle_density,majority_class,123,0.1625,0.09318996415770608
4,vru_present,random,42,0.4875,0.47762382544991244
4,vru_present,majority_class,42,0.6125,0.3798449612403101
4,vru_present,random,7,0.55,0.5454545454545454
4,vru_present,majority_class,7,0.6125,0.3798449612403101
4,vru_present,random,123,0.5,0.4987468671679198
4,vru_present,majority_class,123,0.6125,0.3798449612403101
