accuracy,macro_f1,fit_time,attribute,representation,model,seed,n_features,fold
0.6790123456790124,0.6777845777233782,0.025057315826416016,time_of_day,raw,LogReg,42,6216,0
0.8148148148148148,0.8072957969865187,0.20279669761657715,time_of_day,raw,RandomForest,42,6216,0
0.6790123456790124,0.6777845777233782,0.022516965866088867,time_of_day,raw,LogReg,7,6216,0
0.8148148148148148,0.8072957969865187,0.18814563751220703,time_of_day,raw,RandomForest,7,6216,0
0.6790123456790124,0.6777845777233782,0.022023916244506836,time_of_day,raw,LogReg,123,6216,0
0.7901234567901234,0.7792207792207793,0.19626975059509277,time_of_day,raw,RandomForest,123,6216,0
0.7901234567901234,0.7836606441476827,0.006512880325317383,time_of_day,pca,LogReg,42,202,0
0.6790123456790124,0.6388888888888888,0.2739064693450928,time_of_day,pca,RandomForest,42,202,0
0.7901234567901234,0.7836606441476827,0.008007526397705078,time_of_day,pca,LogReg,7,202,0
0.6790123456790124,0.6388888888888888,0.1701521873474121,time_of_day,pca,RandomForest,7,202,0
0.7901234567901234,0.7836606441476827,0.007005929946899414,time_of_day,pca,LogReg,123,202,0
0.6666666666666666,0.6214298078587502,0.17348980903625488,time_of_day,pca,RandomForest,123,202,0
0.8395061728395061,0.8345640219952868,0.002499818801879883,time_of_day,lda,LogReg,42,1,0
0.8148148148148148,0.8072957969865187,0.16818666458129883,time_of_day,lda,RandomForest,42,1,0
0.8395061728395061,0.8345640219952868,0.002500295639038086,time_of_day,lda,LogReg,7,1,0
0.8148148148148148,0.8072957969865187,0.16763782501220703,time_of_day,lda,RandomForest,7,1,0
0.8395061728395061,0.8345640219952868,0.002500772476196289,time_of_day,lda,LogReg,123,1,0
0.8148148148148148,0.8072957969865187,0.16629338264465332,time_of_day,lda,RandomForest,123,1,0
0.25925925925925924,0.31581494386372433,0.22148418426513672,vehicle_density,raw,LogReg,42,6216,0
0.18518518518518517,0.13883016208597607,0.22433757781982422,vehicle_density,raw,RandomForest,42,6216,0
0.25925925925925924,0.31581494386372433,0.22431325912475586,vehicle_density,raw,LogReg,7,6216,0
0.1728395061728395,0.13333333333333333,0.22022175788879395,vehicle_density,raw,RandomForest,7,6216,0
0.25925925925925924,0.31581494386372433,0.22820353507995605,vehicle_density,raw,LogReg,123,6216,0
0.2222222222222222,0.20871327254305974,0.22227692604064941,vehicle_density,raw,RandomForest,123,6216,0
0.18518518518518517,0.19126196290355987,0.018015384674072266,vehicle_density,pca,LogReg,42,202,0
0.12345679012345678,0.14566679355411752,0.18958187103271484,vehicle_density,pca,RandomForest,42,202,0
0.18518518518518517,0.19126196290355987,0.018019437789916992,vehicle_density,pca,LogReg,7,202,0
0.1728395061728395,0.2192982456140351,0.2048475742340088,vehicle_density,pca,RandomForest,7,202,0
0.18518518518518517,0.19126196290355987,0.02051520347595215,vehicle_density,pca,LogReg,123,202,0
0.1728395061728395,0.225,0.19953060150146484,vehicle_density,pca,RandomForest,123,202,0
0.30864197530864196,0.31805259417199716,0.0029993057250976562,vehicle_density,lda,LogReg,42,2,0
0.2716049382716049,0.29436392914653786,0.19226622581481934,vehicle_density,lda,RandomForest,42,2,0
0.30864197530864196,0.31805259417199716,0.0035042762756347656,vehicle_density,lda,LogReg,7,2,0
0.2716049382716049,0.29436392914653786,0.1797497272491455,vehicle_density,lda,RandomForest,7,2,0
0.30864197530864196,0.31805259417199716,0.004010677337646484,vehicle_density,lda,LogReg,123,2,0
0.2716049382716049,0.29436392914653786,0.17679357528686523,vehicle_density,lda,RandomForest,123,2,0
0.3950617283950617,0.3814866760168303,0.04554629325866699,vru_present,raw,LogReg,42,6216,0
0.37037037037037035,0.2702702702702703,0.19849061965942383,vru_present,raw,RandomForest,42,6216,0
0.3950617283950617,0.3814866760168303,0.04553484916687012,vru_present,raw,LogReg,7,6216,0
0.41975308641975306,0.3275039745627981,0.2102954387664795,vru_present,raw,RandomForest,7,6216,0
0.3950617283950617,0.3814866760168303,0.047577619552612305,vru_present,raw,LogReg,123,6216,0
0.3950617283950617,0.2831858407079646,0.21332931518554688,vru_present,raw,RandomForest,123,6216,0
0.345679012345679,0.3031975328680409,0.020021438598632812,vru_present,pca,LogReg,42,202,0
0.38271604938271603,0.2919580419580419,0.1747910976409912,vru_present,pca,RandomForest,42,202,0
0.345679012345679,0.3031975328680409,0.01849985122680664,vru_present,pca,LogReg,7,202,0
0.37037037037037035,0.28492297039986153,0.18881535530090332,vru_present,pca,RandomForest,7,202,0
0.345679012345679,0.3031975328680409,0.019511699676513672,vru_present,pca,LogReg,123,202,0
0.38271604938271603,0.2919580419580419,0.17328858375549316,vru_present,pca,RandomForest,123,202,0
0.35802469135802467,0.32844387755102045,0.0014998912811279297,vru_present,lda,LogReg,42,1,0
0.43209876543209874,0.33464285714285713,0.1721804141998291,vru_present,lda,RandomForest,42,1,0
0.35802469135802467,0.32844387755102045,0.002501964569091797,vru_present,lda,LogReg,7,1,0
0.43209876543209874,0.33464285714285713,0.16569232940673828,vru_present,lda,RandomForest,7,1,0
0.35802469135802467,0.32844387755102045,0.002002239227294922,vru_present,lda,LogReg,123,1,0
0.43209876543209874,0.33464285714285713,0.15869450569152832,vru_present,lda,RandomForest,123,1,0
