attribute,model,fold,macro_f1_mean,macro_f1_std
time_of_day,XGB,0,0.996,0.0
time_of_day,XGB,1,1.0,0.0
time_of_day,XGB,2,1.0,0.0
time_of_day,XGB,3,1.0,0.0
time_of_day,XGB,4,0.97,0.002
weather,RF,0,0.968,0.003
weather,RF,1,0.804,0.019
weather,RF,2,0.931,0.004
weather,RF,3,0.956,0.001
weather,RF,4,0.844,0.009
vehicle_density,SVM,0,0.508,0.0
vehicle_density,SVM,1,0.517,0.0
vehicle_density,SVM,2,0.474,0.0
vehicle_density,SVM,3,0.517,0.0
vehicle_density,SVM,4,0.539,0.0
vru_present,SVM,0,0.576,0.0
vru_present,SVM,1,0.632,0.0
vru_present,SVM,2,0.615,0.0
vru_present,SVM,3,0.672,0.0
vru_present,SVM,4,0.646,0.0
