attribute,model,base_mean,tuned_mean,delta,cohens_d,p_value
time_of_day,LogReg,0.993,0.993,-0.0,-0.092,0.6108
time_of_day,SVM,0.978,0.978,0.0,0.0,
time_of_day,RF,0.975,0.976,0.001,0.537,0.0431
time_of_day,XGB,0.991,0.993,0.002,0.477,0.1025
time_of_day,MLP,0.969,0.969,-0.001,-0.116,1.0
weather,LogReg,0.852,0.858,0.007,0.366,0.2099
weather,SVM,0.873,0.876,0.003,0.483,0.0989
weather,RF,0.893,0.901,0.008,0.409,0.1688
weather,XGB,0.889,0.896,0.007,0.511,0.1244
weather,MLP,0.854,0.85,-0.004,-0.35,0.2626
vehicle_density,LogReg,0.473,0.486,0.014,1.075,0.0103
vehicle_density,SVM,0.519,0.511,-0.008,-0.551,0.0401
vehicle_density,RF,0.44,0.442,0.002,0.101,0.6379
vehicle_density,XGB,0.507,0.506,-0.001,-0.064,0.7794
vehicle_density,MLP,0.491,0.489,-0.002,-0.185,0.5098
vru_present,LogReg,0.593,0.601,0.008,1.545,0.0006
vru_present,SVM,0.632,0.628,-0.003,-0.323,0.2311
vru_present,RF,0.595,0.599,0.004,0.268,0.3824
vru_present,XGB,0.62,0.617,-0.004,-0.41,0.1094
vru_present,MLP,0.619,0.615,-0.005,-0.343,0.1578
